apartamento;empresa;vaga;facial
AD 202;Joy Cleaner;Não;Não
AD 203;Joy Cleaner;Não;Não
AD 207;Joy Cleaner;Não;Não
AD 517;Joy Cleaner;Não;Não
Air 710;Studio Clean;Sim;Sim
Air 713;Joy Cleaner;Não;Sim
Air 715;Joy Cleaner;Sim - Alug. 2824;Sim
Air 1021;Studio Clean;Não;Sim
Air 1122;Joy Cleaner;Não;Sim
Air 1221;Studio Clean;Não;Sim
Air 1222;Studio Clean;Não;Sim
Air 1520;Studio Clean;Não;Sim
Air 1822;Joy Cleaner;Não;Sim
Air 1909;Studio Clean;Sim;Sim
Air 2322;Studio Clean;Não;Sim
Air 2919;Studio Clean;Sim - Alug. 1401;Sim
Air 3120;Studio Clean;Não;Sim
Air 1019;Studio Clean;Não;sim
Air 1419;Joy Cleaner;Sim - Alug. 1816;Sim
Allure 201;Studio Clean;Não;Não
Allure 213;Intense Clean;Não;Não
Allure 304;Joy Cleaner;Não;Não
Allure 305;Intense Clean;Não;Não
Allure 403;Studio Clean;Não;Não
Allure 414;Studio Clean;Não;Não
Allure 507;Joy Cleaner;Não;Não
Allure 615;Joy Cleaner;Sim - Vaga 24 (COLOCAR MAIS PRÓXIMO DOS PISOS, NÃO TEM PROBLEMA PEGAR UM POUCO DA 23);Não
Allure 616;Joy Cleaner;Sim - Vaga 26 (A VAGA 25 PRECISA FICAR LIVRE SEMPRE);Não
Allure 701;Studio Clean;Não;Não
Allure 709;Joy Cleaner;Sim - Vaga 16;Não
Allure 903;Studio Clean;Não;Não
AP Carinás 502;Intense Clean;Não;Não
Brera 21;Intense Clean;Não;Sim
Brera 22;Intense Clean;Não;Sim
Brera 23;Intense Clean;Não;Sim
Brera 25;Joy Cleaner;Não;Sim
Brera 26;Joy Cleaner;Não;Sim
Brera 27;Joy Cleaner;Não;Sim
Brera 28;Joy Cleaner;Não;Sim
Brera 29;Intense Clean;Não;Sim
Brera 71;Intense Clean;Não;Sim
Brera 79;Joy Cleaner;Não;Sim
Brera 85;Intense Clean;Não;Sim
Brera 89;Joy Cleaner;Não;Sim
Brera 91;Intense Clean;Não;Sim
Brera 115;Joy Cleaner;Não;Sim
Brera 117;Joy Cleaner;Não;Sim
Brera 121;Intense Clean;Não;Sim
Brera 127;Joy Cleaner;Não;Sim
Brera 134;Intense Clean;Não;SIm
Brera 145;Joy Cleaner;Não;Sim
Brera 151;Joy Cleaner;Não;Sim
B.Side 314;Studio Clean;Não;Não
Brooklyn Studios 701;Joy Cleaner;Não;Não
For You 712;Intense Clean;Não;Sim
For You 916;Intense Clean;Não;Sim
Haus Mitre 213;Intense Clean;Não;Sim
Haus Mitre 302;Intense Clean;Não;Sim
Haus Mitre 312;Intense Clean;Não;Sim
Haus Mitre 408;Intense Clean;Não;Sim
Haus Mitre 815;Intense Clean;Não;Sim
Haus Mitre 1112;Intense Clean;Não;Sim
Haus Mitre 1317;Intense Clean;Não;Sim
Is Moema 807;Studio Clean;Não;Não
La Vida 303;Intense Clean;Não;Sim
La Vida 330;Studio Clean;Não;Sim
La Vida 332;Intense Clean;Não;Sim
La Vida 405;Studio Clean;Não;Não
La Vida 418;Intense Clean;Não;Sim
La Vida 423;Studio Clean;Não;Sim
La Vida 427;Intense Clean;Não;Sim
La vida 430;Studio Clean;Não;Sim
La Vida 431;Studio Clean;Não;Sim
La Vida 506;Intense Clean;Não;Sim
La Vida 513;Studio Clean;Não;Sim
La Vida 515;Studio Clean;Não;Sim
Nex One 1218;Joy Cleaner;Não;Sim
Nex One 901;Joy Cleaner;Não;Sim
Movi Campo Belo 1802;Joy Cleaner;Não;Não
On Florida 1118;Studio Clean;Não;Não
On Florida 1606;Studio Clean;Não;Não
On Florida 1610;Studio Clean;Não;Não
On Florida 1808;Studio Clean;Não;Não
On Florida 2105;Studio Clean;Não;Não
On Florida 2217;Studio Clean;Não;Não
On Florida 2218;Studio Clean;Não;Não
On Maracatins 611;Joy Cleaner;Não;Sim
On Maracatins 1415;Joy Cleaner;Não;Sim
Pamplona 1613;Intense Clean;Não;Não
Trends 03;Intense Clean;Sim - 199 (terreo);Não
Trends 903;Joy Cleaner;Não;Não
Trends 1605;Intense Clean;Não;Não
Uwin 103;Joy Cleaner;Não;Não
Uwin 105;Joy Cleaner;Não;Não
Uwin 208;Intense Clean;Não;Não
Uwin 306;Intense Clean;Não;Não
Uwin 309;Intense Clean;Não;Não
Uwin 310;Joy Cleaner;Não;Não
Uwin 713;Studio Clean;Não;Não
Uwin 1109;Joy Cleaner;Não;Não
Uwin 1114;Intense Clean;Não;Não
Uwin 1211;Intense Clean;Não;Não
Uwin 1304;Intense Clean;Não;Não
Uwin 1514;Intense Clean;Não;Não
Uwin 1604;Joy Cleaner;Não;Não
Uwin 1713;Studio Clean;Não;Não
Uwin 2205;Intense Clean;Não;Não
Uwin 2214;Intense Clean;Não;Não
Uwin 2308;Intense Clean;Não;Não
Uwin 2206;Studio Clean;Não;Não
VibePinheiros 112;Studio Clean;Não;Sim
VibePinheiros 408;Studio Clean;Não;Sim
VibePinheiros 706;Studio Clean;Não;Sim
VibePinheiros 903;Intense Clean;Não;Sim
VibePinheiros 1501;Studio Clean;Não;Sim
VN Quatá 1205;Joy Cleaner;Sim;Não
Viva Benx 2107;Joy Cleaner;Não;Sim
Zip Brooklin 527;Joy Cleaner;Não;Não
Zip Brooklin 219;Joy Cleaner;Não;Não
